root | manejo_posicion | 818 | INFO | 2023-04-10 18:42:40,928 | == STOP LOSS 25 ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:43,469 | BTC/USD@29274.0153
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:46,515 | BTC/USD@29274.0153
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:42:46,520 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:42:46,520 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:42:46,520 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:42:46,520 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:42:46,520 | == RSI_ACTUAL 61.52162118934292 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:42:46,520 | == RSI_STOPLOSS 25 ==
root | manejo_posicion | 717 | INFO | 2023-04-10 18:42:46,520 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:42:46,520 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:42:46,520 | == RSI_TARGET3 65 ==
root | manejo_posicion | 818 | INFO | 2023-04-10 18:42:46,521 | == STOP LOSS 25 ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:49,070 | BTC/USD@29288.18692518
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:52,147 | BTC/USD@29287.25
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:42:52,153 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:42:52,153 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:42:52,153 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:42:52,153 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:42:52,154 | == RSI_ACTUAL 61.52162118934292 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:42:52,154 | == RSI_STOPLOSS 25 ==
root | manejo_posicion | 717 | INFO | 2023-04-10 18:42:52,154 | == RSI_TARGET1 55 ==
root | manejo_posicion | 721 | INFO | 2023-04-10 18:42:52,154 | == RSI_TARGET2 60 ==
root | manejo_posicion | 725 | INFO | 2023-04-10 18:42:52,154 | == RSI_TARGET3 65 ==
root | manejo_posicion | 818 | INFO | 2023-04-10 18:42:52,154 | == STOP LOSS 25 ==
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:54,697 | BTC/USD@29287.25
root | market_data_quote_crypto | 476 | INFO | 2023-04-10 18:42:57,740 | BTC/USD@29286.56235
root | estrategia_RSI | 421 | INFO | 2023-04-10 18:42:57,750 |  HOLD or WAIT RSI
root | manejo_posicion | 699 | INFO | 2023-04-10 18:42:57,750 | == UPDATE POSICION ==
root | manejo_posicion | 701 | INFO | 2023-04-10 18:42:57,750 | == CONTRATOS EN MANO 0 ==
root | manejo_posicion | 705 | INFO | 2023-04-10 18:42:57,750 | == Comprado? False ==
root | manejo_posicion | 709 | INFO | 2023-04-10 18:42:57,750 | == RSI_ACTUAL 61.52162118934292 ==
root | manejo_posicion | 713 | INFO | 2023-04-10 18:42:57,750 | == RSI_STOPLOSS 25 ==
